规则编号,合同类型,审核模块,风险名称,检查点,触发条件,默认风险等级,修改建议模板,示例问题条款
COM-FIN-001,通用,财务,合同金额不明确,是否明确合同总金额、币种、大小写金额,合同仅写费用另行协商或按实际结算或未写明总金额,高,建议明确合同总金额、币种、大小写金额及费用构成,合同费用由双方另行确认。
COM-FIN-002,通用,财务,付款节点不清晰,是否明确付款时间、付款条件、付款比例,仅约定付款但未说明具体时间、条件或比例,中,建议明确各阶段付款比例、付款触发条件和付款期限,甲方应按约支付合同款。
COM-FIN-003,通用,财务,付款前提缺失,是否约定付款与交付、验收、发票之间的关系,未说明付款是否以验收合格或收到合规发票为前提,中,建议明确付款前提，例如验收合格且收到合规发票后若干日内付款,甲方收到乙方请款后支付费用。
COM-FIN-004,通用,财务,发票条款不明确,是否约定发票类型、开票时间、税率和开票主体,未约定发票类型或开票时间或开票主体,中,建议明确发票类型、开票主体、开票时间及税费承担方式,乙方应向甲方开具发票。
COM-FIN-005,通用,财务,税费承担不明确,是否明确合同履行过程中税费由谁承担,合同涉及税费但未说明承担主体,中,建议明确税费、手续费及其他费用的承担方,相关税费按法律规定处理。
COM-FIN-006,通用,财务,逾期付款责任缺失,是否约定逾期付款的违约责任,约定付款义务但未约定逾期付款责任,中,建议补充逾期付款违约金、计算方式及宽限期,甲方逾期付款的，双方另行协商。
COM-FIN-007,通用,财务,费用范围不清,是否明确合同价款包含哪些服务、材料、税费或其他成本,合同金额存在但费用包含范围不明确,中,建议列明费用包含项和不包含项，避免后续追加费用争议,合同价款包括相关费用。
COM-LAW-001,通用,法务,主体信息不完整,是否明确双方名称、统一社会信用代码、地址、联系人,合同主体名称、证照信息或联系信息缺失,高,建议补全双方主体名称、统一社会信用代码、注册地址、联系人及联系方式,甲乙双方经协商一致签订本合同。
COM-LAW-002,通用,法务,签署权限不明确,是否确认签署人具有授权或法定代表权限,合同由经办人签署但未体现授权依据,高,建议确认签署人身份，并补充授权委托书或法定代表人签署信息,本合同由双方代表签字。
COM-LAW-003,通用,法务,合同生效条件不明确,是否明确合同何时生效,未约定合同生效时间、盖章签字要求或审批条件,中,建议明确合同自双方签字盖章之日起生效，或明确其他生效条件,本合同签订后生效。
COM-LAW-004,通用,法务,违约责任过于笼统,是否明确违约情形、责任承担和赔偿范围,仅写违约方承担责任但未说明具体责任,高,建议明确主要违约情形、违约金计算方式、损失赔偿范围,违约方应承担违约责任。
COM-LAW-005,通用,法务,争议解决条款缺失,是否约定管辖法院、仲裁机构或争议解决方式,未约定争议解决方式或管辖机构,中,建议明确争议解决方式、管辖法院或仲裁机构所在地,发生争议由双方协商解决。
COM-LAW-006,通用,法务,解除条款不清晰,是否明确合同解除条件、解除程序和后果,未说明何种情形可解除合同,中,建议明确单方解除、协商解除、通知期限及解除后的结算责任,双方可根据情况解除合同。
COM-LAW-007,通用,法务,保密义务不明确,是否约定保密信息范围、期限、违约责任,涉及商业信息但未约定保密条款,中,建议补充保密信息范围、保密期限、例外情形和违约责任,双方应对合作信息保密。
COM-PER-001,通用,履约,履行期限不明确,是否明确合同开始时间、结束时间或履行周期,使用尽快、及时、合理期限等模糊表述,中,建议明确具体履行起止日期、阶段期限或完成时限,乙方应及时完成相关工作。
COM-PER-002,通用,履约,履行地点不明确,是否明确交付、服务或履行地点,合同涉及交付或服务但未写明地点,低,建议明确履行地点、收货地址或服务地点,乙方按甲方要求完成交付。
